prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,wall_s,ok,error
1,pocket,cpu,,gated,0,True,31.6,0.2609,2.32,8.89,2.284,True,
1,pocket,cpu,,gated,1,False,28.5,0.2672,2.4,8.98,0,True,
1,pocket,cpu,,gated,2,False,28.7,0.3179,2.48,7.8,0,True,
1,neutts_air,cpu,air,True,0,True,1324.3,2.187,2.26,1.03,18.437,True,
1,neutts_air,cpu,air,True,1,False,362.5,0.9869,2.02,2.05,0,True,
1,neutts_air,cpu,air,True,2,False,370.2,1.3643,2.8,2.05,0,True,
1,neutts_air,mps,air,True,0,True,2074.0,3.1956,2.68,0.84,17.303,True,
1,neutts_air,mps,air,True,1,False,522.5,1.5995,2.74,1.71,0,True,
1,neutts_air,mps,air,True,2,False,564.3,1.5059,2.86,1.9,0,True,
1,neutts_nano,cpu,nano,True,0,True,709.7,1.1563,1.76,1.52,17.024,True,
1,neutts_nano,cpu,nano,True,1,False,277.0,0.6621,1.82,2.75,0,True,
1,neutts_nano,cpu,nano,True,2,False,274.3,0.5559,1.54,2.77,0,True,
1,neutts_nano,mps,nano,True,0,True,1460.6,1.9171,1.76,0.92,14.267,True,
1,neutts_nano,mps,nano,True,1,False,477.9,1.051,1.88,1.79,0,True,
1,neutts_nano,mps,nano,True,2,False,475.5,0.9098,1.62,1.78,0,True,
1,luxtts,cpu,,True,0,True,,,,,0.026,False,load failed: ModuleNotFoundError: No module named 'luxtts'
1,luxtts,mps,,True,0,True,,,,,0.016,False,load failed: ModuleNotFoundError: No module named 'luxtts'
2,pocket,cpu,,gated,0,True,64.7,0.7243,6.32,8.73,4.16,True,
2,pocket,cpu,,gated,1,False,30.8,0.6555,6.0,9.15,0,True,
2,pocket,cpu,,gated,2,False,30.7,0.6923,6.32,9.13,0,True,
2,neutts_air,cpu,air,True,0,True,1537.5,3.9479,5.7,1.44,26.034,True,
2,neutts_air,cpu,air,True,1,False,359.4,2.1047,4.34,2.06,0,True,
2,neutts_air,cpu,air,True,2,False,374.9,2.3617,5.06,2.14,0,True,
2,neutts_air,mps,air,True,0,True,2260.1,5.0822,6.4,1.26,21.293,True,
