prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,peak_mem_mb,peak_vram_mb,wall_s,ok,error
1,moss_tts,cuda,,True,0,True,6476.0,6.476,3.04,0.47,2389.2,23347.7,35.298,True,
1,moss_tts,cuda,,True,1,False,5713.6,5.7136,3.12,0.55,2400.7,23347.7,0,True,
1,moss_tts,cuda,,True,2,False,5522.4,5.5224,2.88,0.52,2390.8,23347.7,0,True,
2,moss_tts,cuda,,True,0,True,6666.5,6.6665,4.8,0.72,2426.7,23359.0,34.539,True,
2,moss_tts,cuda,,True,1,False,5838.1,5.8381,4.72,0.81,2438.0,23359.0,0,True,
2,moss_tts,cuda,,True,2,False,5938.0,5.938,4.88,0.82,2428.9,23359.0,0,True,
3,moss_tts,cuda,,True,0,True,11670.2,11.6702,14.72,1.26,2436.5,23382.8,50.962,True,
3,moss_tts,cuda,,True,1,False,12050.4,12.0504,16.88,1.4,2448.7,23382.8,0,True,
3,moss_tts,cuda,,True,2,False,11706.1,11.7061,16.0,1.37,2440.6,23382.8,0,True,
4,moss_tts,cuda,,True,0,True,7911.1,7.9111,7.2,0.91,2387.7,23356.2,37.659,True,
4,moss_tts,cuda,,True,1,False,6298.1,6.2981,5.92,0.94,2399.1,23356.2,0,True,
4,moss_tts,cuda,,True,2,False,7789.7,7.7897,8.16,1.05,2426.5,23356.2,0,True,
5,moss_tts,cuda,,True,0,True,5569.9,5.5699,5.68,1.02,2422.8,23356.2,28.637,True,
5,moss_tts,cuda,,True,1,False,3764.1,3.7641,4.4,1.17,2434.1,23356.2,0,True,
5,moss_tts,cuda,,True,2,False,3977.8,3.9778,5.04,1.27,2424.8,23356.2,0,True,
