prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,peak_mem_mb,peak_vram_mb,wall_s,ok,error
1,pocket,cpu,,gated,0,True,87.4,0.583,2.64,4.53,778.2,,5.01,True,
1,pocket,cpu,,gated,1,False,84.0,0.5414,2.4,4.43,941.8,,0,True,
1,pocket,cpu,,gated,2,False,86.2,0.5803,2.56,4.41,941.8,,0,True,
1,neutts_air,cpu,air,True,0,True,1582.3,3.4989,3.28,0.94,6156.7,,32.143,True,
1,neutts_air,cpu,air,True,1,False,554.9,2.3983,3.12,1.3,6163.1,,0,True,
1,neutts_air,cpu,air,True,2,False,536.1,1.8797,2.52,1.34,6163.1,,0,True,
1,neutts_air,cuda,air,True,0,True,1502.4,2.569,2.5,0.97,3969.3,3331.3,14.88,True,
1,neutts_air,cuda,air,True,1,False,506.5,1.6533,2.6,1.57,3979.3,3331.3,0,True,
1,neutts_air,cuda,air,True,2,False,464.6,1.1821,1.88,1.59,3979.4,3331.3,0,True,
1,neutts_nano,cpu,nano,True,0,True,999.8,1.6031,1.86,1.16,5746.6,,18.701,True,
1,neutts_nano,cpu,nano,True,1,False,383.4,0.9518,1.74,1.83,5756.5,,0,True,
1,neutts_nano,cpu,nano,True,2,False,399.6,0.9595,1.72,1.79,5756.8,,0,True,
1,neutts_nano,cuda,nano,True,0,True,925.5,1.3163,1.88,1.43,2696.4,3331.3,12.193,True,
1,neutts_nano,cuda,nano,True,1,False,317.6,0.6783,1.78,2.62,2724.7,3331.3,0,True,
1,neutts_nano,cuda,nano,True,2,False,311.6,0.7201,1.94,2.69,2738.2,3331.3,0,True,
1,chatterbox,cpu,,True,0,True,6466.3,6.4663,2.0,0.31,4080.8,,29.124,True,
1,chatterbox,cpu,,True,1,False,6161.9,6.1619,1.96,0.32,4094.6,,0,True,
1,chatterbox,cpu,,True,2,False,5880.3,5.8803,1.84,0.31,4095.2,,0,True,
1,chatterbox,cuda,,True,0,True,1389.3,1.3893,1.8,1.3,2055.2,3153.1,14.687,True,
1,chatterbox,cuda,,True,1,False,1046.1,1.0461,1.84,1.76,2089.4,3159.6,0,True,
1,chatterbox,cuda,,True,2,False,1081.3,1.0813,1.92,1.78,2090.9,3160.6,0,True,
1,chatterbox_turbo,cpu,turbo,True,0,True,4103.7,4.1037,2.4,0.58,3741.5,,21.534,True,
1,chatterbox_turbo,cpu,turbo,True,1,False,3830.5,3.8305,2.36,0.62,3761.8,,0,True,
1,chatterbox_turbo,cpu,turbo,True,2,False,3751.7,3.7517,2.32,0.62,3765.3,,0,True,
1,chatterbox_turbo,cuda,turbo,True,0,True,923.6,0.9236,2.48,2.69,2139.8,2816.7,12.557,True,
1,chatterbox_turbo,cuda,turbo,True,1,False,509.6,0.5096,2.16,4.24,2179.4,2824.4,0,True,
1,chatterbox_turbo,cuda,turbo,True,2,False,533.0,0.533,2.32,4.35,2188.6,2824.4,0,True,
1,f5tts,cpu,,True,0,True,39632.8,39.6328,1.397,0.04,2644.7,,155.592,True,
1,f5tts,cpu,,True,1,False,39719.4,39.7194,1.397,0.04,2898.4,,0,True,
1,f5tts,cpu,,True,2,False,38099.7,38.0997,1.397,0.04,2865.4,,0,True,
1,f5tts,cuda,,True,0,True,1770.2,1.7702,1.397,0.79,2319.8,765.2,12.339,True,
1,f5tts,cuda,,True,1,False,1146.2,1.1462,1.397,1.22,2419.5,765.2,0,True,
1,f5tts,cuda,,True,2,False,1065.6,1.0656,1.397,1.31,2426.9,765.2,0,True,
1,coqui,cpu,,True,0,True,3040.3,3.0403,2.689,0.88,2952.8,,24.174,True,
1,coqui,cpu,,True,1,False,3482.6,3.4826,3.009,0.86,2998.1,,0,True,
1,coqui,cpu,,True,2,False,2652.9,2.6529,2.454,0.93,2998.7,,0,True,
1,coqui,cuda,,True,0,True,818.4,0.8184,3.105,3.79,2119.8,1889.7,16.606,True,
1,coqui,cuda,,True,1,False,595.1,0.5951,3.009,5.06,2146.8,1888.3,0,True,
1,coqui,cuda,,True,2,False,519.1,0.5191,2.785,5.36,2146.8,1883.3,0,True,
1,omnivoice,cpu,,True,0,True,8461.1,8.4611,2.28,0.27,2887.8,,29.493,True,
1,omnivoice,cpu,,True,1,False,7734.4,7.7344,2.28,0.29,3005.2,,0,True,
1,omnivoice,cpu,,True,2,False,7728.4,7.7284,2.28,0.3,3029.0,,0,True,
1,omnivoice,cuda,,True,0,True,1244.5,1.2445,2.28,1.83,2026.0,1974.0,8.968,True,
1,omnivoice,cuda,,True,1,False,735.8,0.7358,2.28,3.1,2184.6,1974.0,0,True,
1,omnivoice,cuda,,True,2,False,690.8,0.6908,2.28,3.3,2184.7,1974.0,0,True,
1,voxcpm,cpu,,True,0,True,10114.3,10.1143,2.4,0.24,6566.8,,59.251,True,
1,voxcpm,cpu,,True,1,False,13481.6,13.4816,3.2,0.24,6798.0,,0,True,
1,voxcpm,cpu,,True,2,False,13936.5,13.9365,3.36,0.24,6927.8,,0,True,
1,voxcpm,cuda,,True,0,True,1813.4,1.8134,3.84,2.12,3362.0,5376.3,29.983,True,
1,voxcpm,cuda,,True,1,False,2598.3,2.5983,5.44,2.09,3566.2,5406.8,0,True,
1,voxcpm,cuda,,True,2,False,2122.3,2.1223,4.48,2.11,3566.2,5378.5,0,True,
1,qwentts,cpu,base,True,0,True,22672.3,22.6723,1.84,0.08,9317.3,,60.581,True,
1,qwentts,cpu,base,True,1,False,14145.6,14.1456,2.0,0.14,9385.4,,0,True,
1,qwentts,cpu,base,True,2,False,13256.9,13.2569,1.84,0.14,9374.6,,0,True,
1,qwentts,cuda,base,True,0,True,3405.8,3.4058,2.0,0.59,2257.9,4492.7,13.812,True,
1,qwentts,cuda,base,True,1,False,2133.6,2.1336,1.84,0.86,2296.9,4487.0,0,True,
1,qwentts,cuda,base,True,2,False,2025.3,2.0253,1.76,0.87,2297.0,4484.6,0,True,
1,qwentts_fast,cuda,base,True,0,True,14945.8,14.9458,1.76,0.12,2441.0,4756.8,29.214,True,
1,qwentts_fast,cuda,base,True,1,False,674.4,0.6744,1.84,2.73,2508.7,4757.9,0,True,
1,qwentts_fast,cuda,base,True,2,False,683.4,0.6834,1.92,2.81,2510.0,4759.7,0,True,
1,indextts,cpu,,True,0,True,4732.5,4.7325,2.81,0.59,5809.6,,113.452,True,
1,indextts,cpu,,True,1,False,2656.1,2.6561,2.635,0.99,5827.6,,0,True,
1,indextts,cpu,,True,2,False,2641.8,2.6418,2.473,0.94,5827.8,,0,True,
1,indextts,cuda,,True,0,True,4246.7,4.2467,2.891,0.68,2817.3,7192.7,27.706,True,
1,indextts,cuda,,True,1,False,2826.0,2.826,2.45,0.87,2826.3,7306.7,0,True,
1,indextts,cuda,,True,2,False,2934.6,2.9346,2.566,0.87,2826.7,7308.1,0,True,
1,sesame,cpu,,gated,0,True,15890.8,15.8908,1.92,0.12,5902.7,,128.886,True,
1,sesame,cpu,,gated,1,False,15505.5,15.5055,1.92,0.12,6205.3,,0,True,
