prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,peak_mem_mb,peak_vram_mb,wall_s,ok,error
1,pocket,cpu,,gated,0,True,75.0,0.3579,2.88,8.05,761.2,,21.41,True,
1,pocket,cpu,,gated,1,False,31.3,0.2812,2.4,8.54,1049.8,,0,True,
1,pocket,cpu,,gated,2,False,28.7,0.2777,2.48,8.93,1052.0,,0,True,
1,luxtts,cpu,,True,0,True,,,,,,,0.025,False,load failed: ModuleNotFoundError: No module named 'luxtts'
1,luxtts,mps,,True,0,True,,,,,,,0.017,False,load failed: ModuleNotFoundError: No module named 'luxtts'
1,chatterbox,cpu,,True,0,True,12550.2,12.5502,1.96,0.16,3209.7,,126.063,True,
1,chatterbox,cpu,,True,1,False,6098.3,6.0983,1.92,0.31,3315.3,,0,True,
1,chatterbox,cpu,,True,2,False,5847.5,5.8475,1.96,0.34,3333.2,,0,True,
1,chatterbox,mps,,True,0,True,16071.0,16.071,2.2,0.14,385.3,,42.559,True,
1,chatterbox,mps,,True,1,False,6191.8,6.1918,1.92,0.31,421.1,,0,True,
1,chatterbox,mps,,True,2,False,5683.1,5.6831,1.96,0.34,494.9,,0,True,
1,chatterbox_turbo,cpu,turbo,True,0,True,2987.9,2.9879,2.28,0.76,3176.7,,104.026,True,
1,chatterbox_turbo,cpu,turbo,True,1,False,2607.9,2.6079,2.24,0.86,3055.0,,0,True,
1,chatterbox_turbo,cpu,turbo,True,2,False,2337.0,2.337,2.24,0.96,3037.7,,0,True,
1,chatterbox_turbo,mps,turbo,True,0,True,11418.0,11.418,2.32,0.2,708.5,,31.938,True,
1,chatterbox_turbo,mps,turbo,True,1,False,1850.0,1.85,2.24,1.21,1016.3,,0,True,
1,chatterbox_turbo,mps,turbo,True,2,False,1565.2,1.5652,2.24,1.43,1022.2,,0,True,
1,f5tts,cpu,,True,0,True,34676.8,34.6768,1.397,0.04,3392.9,,183.23,True,
1,f5tts,cpu,,True,1,False,34539.4,34.5394,1.397,0.04,3626.0,,0,True,
1,f5tts,cpu,,True,2,False,34684.8,34.6848,1.397,0.04,3626.0,,0,True,
1,f5tts,mps,,True,0,True,31631.0,31.631,1.397,0.04,1036.5,,101.374,True,
1,f5tts,mps,,True,1,False,31147.8,31.1478,1.397,0.04,120.8,,0,True,
