prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,wall_s,ok,error
1,kokoro,cpu,,False,0,True,501.3,0.5014,2.65,5.29,28.369,True,
1,kokoro,cpu,,False,1,False,284.3,0.2843,2.65,9.32,0,True,
1,kokoro,cpu,,False,2,False,275.6,0.2756,2.65,9.62,0,True,
1,kokoro,mps,,False,0,True,7110.8,7.1108,2.65,0.37,11.84,True,
1,kokoro,mps,,False,1,False,199.6,0.1996,2.65,13.28,0,True,
1,kokoro,mps,,False,2,False,188.1,0.1881,2.65,14.09,0,True,
1,kittentts,cpu,,False,0,True,369.6,0.3696,2.725,7.37,5.362,True,
1,kittentts,cpu,,False,1,False,372.4,0.3724,2.725,7.32,0,True,
1,kittentts,cpu,,False,2,False,327.2,0.3272,2.725,8.33,0,True,
1,piper,cpu,,False,0,True,320.1,0.3202,2.101,6.56,4.497,True,
1,piper,cpu,,False,1,False,61.0,0.061,2.055,33.67,0,True,
1,piper,cpu,,False,2,False,60.6,0.0607,1.997,32.9,0,True,
1,vibevoice,cpu,,False,0,True,6571.0,6.571,2.267,0.34,90.36,True,
1,vibevoice,cpu,,False,1,False,8073.9,8.0739,2.667,0.33,0,True,
1,vibevoice,cpu,,False,2,False,8198.3,8.1983,2.533,0.31,0,True,
1,vibevoice,mps,,False,0,True,7030.9,7.0309,2.4,0.34,22.649,True,
1,vibevoice,mps,,False,1,False,2755.8,2.7558,2.8,1.02,0,True,
1,vibevoice,mps,,False,2,False,2681.3,2.6813,3.067,1.14,0,True,
2,kokoro,cpu,,False,0,True,695.1,0.6951,5.85,8.42,5.817,True,
2,kokoro,cpu,,False,1,False,597.4,0.5974,5.85,9.79,0,True,
2,kokoro,cpu,,False,2,False,577.2,0.5772,5.85,10.13,0,True,
2,kokoro,mps,,False,0,True,1957.2,1.9572,5.85,2.99,6.02,True,
2,kokoro,mps,,False,1,False,388.9,0.3889,5.85,15.04,0,True,
2,kokoro,mps,,False,2,False,378.6,0.3786,5.85,15.45,0,True,
2,kittentts,cpu,,False,0,True,701.9,0.7019,5.625,8.01,3.746,True,
2,kittentts,cpu,,False,1,False,694.9,0.6949,5.625,8.09,0,True,
2,kittentts,cpu,,False,2,False,616.9,0.6169,5.625,9.12,0,True,
2,piper,cpu,,False,0,True,215.3,0.2155,5.642,26.19,1.133,True,
2,piper,cpu,,False,1,False,181.4,0.1815,5.48,30.19,0,True,
2,piper,cpu,,False,2,False,201.0,0.2011,6.026,29.96,0,True,
2,vibevoice,cpu,,False,0,True,16792.6,16.7926,6.4,0.38,60.664,True,
2,vibevoice,cpu,,False,1,False,18110.8,18.1108,6.933,0.38,0,True,
2,vibevoice,cpu,,False,2,False,18215.4,18.2154,6.533,0.36,0,True,
2,vibevoice,mps,,False,0,True,7706.3,7.7063,6.933,0.9,28.337,True,
2,vibevoice,mps,,False,1,False,4721.2,4.7212,5.2,1.1,0,True,
2,vibevoice,mps,,False,2,False,6726.0,6.726,7.733,1.15,0,True,
3,kokoro,cpu,,False,0,True,1974.6,1.9746,17.8,9.01,9.255,True,
3,kokoro,cpu,,False,1,False,1674.6,1.6746,17.8,10.63,0,True,
3,kokoro,cpu,,False,2,False,1649.0,1.649,17.8,10.79,0,True,
3,kokoro,mps,,False,0,True,2542.9,2.5429,17.8,7.0,8.315,True,
3,kokoro,mps,,False,1,False,1079.7,1.0797,17.8,16.49,0,True,
3,kokoro,mps,,False,2,False,1090.3,1.0903,17.8,16.33,0,True,
3,kittentts,cpu,,False,0,True,1829.9,1.8299,16.325,8.92,7.712,True,
3,kittentts,cpu,,False,1,False,2195.2,2.1952,16.325,7.44,0,True,
3,kittentts,cpu,,False,2,False,2428.9,2.4289,16.325,6.72,0,True,
3,piper,cpu,,False,0,True,454.1,0.4545,15.093,33.21,1.887,True,
3,piper,cpu,,False,1,False,459.9,0.4608,15.139,32.86,0,True,
3,piper,cpu,,False,2,False,447.4,0.4478,15.36,34.3,0,True,
3,vibevoice,cpu,,False,0,True,74787.7,74.7877,19.333,0.26,186.133,True,
3,vibevoice,cpu,,False,1,False,52941.5,52.9415,20.667,0.39,0,True,
3,vibevoice,cpu,,False,2,False,51235.4,51.2354,19.867,0.39,0,True,
3,vibevoice,mps,,False,0,True,19137.1,19.1371,19.733,1.03,62.926,True,
3,vibevoice,mps,,False,1,False,18035.2,18.0352,20.667,1.15,0,True,
3,vibevoice,mps,,False,2,False,16265.9,16.2659,18.0,1.11,0,True,
4,kokoro,cpu,,False,0,True,790.1,0.7901,7.05,8.92,6.274,True,
4,kokoro,cpu,,False,1,False,682.3,0.6823,7.05,10.33,0,True,
4,kokoro,cpu,,False,2,False,711.0,0.711,7.05,9.92,0,True,
4,kokoro,mps,,False,0,True,1988.3,1.9883,7.05,3.55,6.65,True,
4,kokoro,mps,,False,1,False,444.7,0.4447,7.05,15.85,0,True,
4,kokoro,mps,,False,2,False,442.2,0.4422,7.05,15.94,0,True,
4,kittentts,cpu,,False,0,True,814.0,0.814,6.875,8.45,3.859,True,
4,kittentts,cpu,,False,1,False,784.2,0.7842,6.875,8.77,0,True,
4,kittentts,cpu,,False,2,False,826.8,0.8268,6.875,8.31,0,True,
4,piper,cpu,,False,0,True,202.9,0.2033,5.851,28.79,1.134,True,
4,piper,cpu,,False,1,False,192.3,0.1924,5.979,31.08,0,True,
4,piper,cpu,,False,2,False,194.7,0.1949,6.13,31.45,0,True,
4,vibevoice,cpu,,False,0,True,23069.8,23.0698,8.533,0.37,78.358,True,
4,vibevoice,cpu,,False,1,False,24679.8,24.6798,9.2,0.37,0,True,
4,vibevoice,cpu,,False,2,False,22693.8,22.6938,8.8,0.39,0,True,
4,vibevoice,mps,,False,0,True,9166.4,9.1664,8.533,0.93,32.88,True,
4,vibevoice,mps,,False,1,False,7579.7,7.5797,8.8,1.16,0,True,
4,vibevoice,mps,,False,2,False,7529.4,7.5294,8.267,1.1,0,True,
5,kokoro,cpu,,False,0,True,1010.6,1.0106,5.05,5.0,5.711,True,
5,kokoro,cpu,,False,1,False,481.0,0.481,5.05,10.5,0,True,
5,kokoro,cpu,,False,2,False,482.0,0.482,5.05,10.48,0,True,
5,kokoro,mps,,False,0,True,1376.8,1.3768,5.05,3.67,5.424,True,
5,kokoro,mps,,False,1,False,327.2,0.3272,5.05,15.43,0,True,
5,kokoro,mps,,False,2,False,323.5,0.3235,5.05,15.61,0,True,
5,piper,cpu,,False,0,True,145.4,0.1457,4.203,28.84,3.348,True,
5,piper,cpu,,False,1,False,108.8,0.1091,4.017,36.83,0,True,
5,piper,cpu,,False,2,False,110.9,0.1111,4.063,36.59,0,True,
