dir,wav,model,mode,prompt_id,utmos,wer,sim
linux-cloning,chatterbox_cpu_p1.wav,chatterbox,cloning,1,4.2981,0.0000,0.5183
linux-cloning,chatterbox_cpu_p2.wav,chatterbox,cloning,2,4.1919,0.0000,0.7406
linux-cloning,chatterbox_cpu_p3.wav,chatterbox,cloning,3,4.4051,0.1818,0.6550
linux-cloning,chatterbox_cpu_p4.wav,chatterbox,cloning,4,4.3269,0.0556,0.5857
linux-cloning,chatterbox_cuda_p1.wav,chatterbox,cloning,1,4.2958,0.0000,0.5662
linux-cloning,chatterbox_cuda_p2.wav,chatterbox,cloning,2,4.3566,0.0000,0.5511
linux-cloning,chatterbox_cuda_p3.wav,chatterbox,cloning,3,4.4050,0.1515,0.6333
linux-cloning,chatterbox_cuda_p4.wav,chatterbox,cloning,4,4.3043,0.1111,0.6166
linux-cloning,chatterbox_turbo_cpu_p1.wav,chatterbox_turbo,cloning,1,3.7224,0.1429,0.6790
linux-cloning,chatterbox_turbo_cpu_p2.wav,chatterbox_turbo,cloning,2,4.0739,0.0000,0.7509
linux-cloning,chatterbox_turbo_cpu_p3.wav,chatterbox_turbo,cloning,3,4.3062,0.2424,0.7786
linux-cloning,chatterbox_turbo_cpu_p4.wav,chatterbox_turbo,cloning,4,3.9492,0.2778,0.7412
linux-cloning,chatterbox_turbo_cuda_p1.wav,chatterbox_turbo,cloning,1,3.8850,0.0000,0.6011
linux-cloning,chatterbox_turbo_cuda_p2.wav,chatterbox_turbo,cloning,2,4.2083,0.0000,0.7949
linux-cloning,chatterbox_turbo_cuda_p3.wav,chatterbox_turbo,cloning,3,4.4225,0.2121,0.6438
linux-cloning,chatterbox_turbo_cuda_p4.wav,chatterbox_turbo,cloning,4,4.2122,0.1111,0.7845
linux-cloning,coqui_cpu_p1.wav,coqui,cloning,1,4.0205,0.0000,0.3717
linux-cloning,coqui_cpu_p2.wav,coqui,cloning,2,4.2705,0.0000,0.4188
linux-cloning,coqui_cpu_p3.wav,coqui,cloning,3,4.0899,0.1818,0.4901
linux-cloning,coqui_cpu_p4.wav,coqui,cloning,4,3.8758,0.1667,0.5163
linux-cloning,coqui_cpu_p5.wav,coqui,cloning,5,3.3296,0.0000,0.3417
linux-cloning,coqui_cuda_p1.wav,coqui,cloning,1,3.6221,0.1429,0.4800
