prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,peak_mem_mb,peak_vram_mb,wall_s,ok,error
1,pocket,cpu,,gated,0,True,69.1,0.3759,1.76,4.68,1538.8,,7.183,True,
1,pocket,cpu,,gated,1,False,65.0,0.3723,1.76,4.73,1639.5,,0,True,
1,pocket,cpu,,gated,2,False,61.0,0.3667,1.68,4.58,1642.2,,0,True,
1,luxtts,cpu,,True,0,True,,,,,,,0.057,False,load failed: ModuleNotFoundError: No module named 'luxtts'
1,chatterbox,cpu,,True,0,True,7309.6,7.3096,1.92,0.26,4456.4,,33.369,True,
1,chatterbox,cpu,,True,1,False,6603.0,6.603,1.92,0.29,4631.6,,0,True,
1,chatterbox,cpu,,True,2,False,6433.4,6.4334,1.84,0.29,4671.6,,0,True,
1,chatterbox,cuda,,True,0,True,2377.4,2.3774,2.24,0.94,3052.8,3478.7,15.962,True,
1,chatterbox,cuda,,True,1,False,1288.5,1.2885,2.52,1.96,3061.7,3702.0,0,True,
1,chatterbox,cuda,,True,2,False,1210.7,1.2107,2.28,1.88,3065.3,3702.0,0,True,
1,chatterbox_turbo,cpu,turbo,True,0,True,4781.7,4.7817,2.8,0.59,4113.2,,22.514,True,
1,chatterbox_turbo,cpu,turbo,True,1,False,3478.1,3.4781,2.2,0.63,4264.8,,0,True,
1,chatterbox_turbo,cpu,turbo,True,2,False,3480.0,3.48,2.16,0.62,4265.0,,0,True,
1,chatterbox_turbo,cuda,turbo,True,0,True,1606.0,1.606,2.12,1.32,2664.1,3087.6,13.419,True,
1,chatterbox_turbo,cuda,turbo,True,1,False,636.4,0.6364,2.24,3.52,2675.8,3309.7,0,True,
1,chatterbox_turbo,cuda,turbo,True,2,False,627.7,0.6277,2.08,3.31,2682.7,3310.0,0,True,
1,coqui,cpu,,True,0,True,3903.3,3.9033,3.521,0.9,3081.4,,22.99,True,
1,coqui,cpu,,True,1,False,2562.4,2.5624,2.358,0.92,2995.3,,0,True,
